freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,F,TOTAL,SE	3743575 	3757848 	3778988 	3798896 	3821808 	3854303 	3890033 	3923918 	3950551 	3972328 	4007802 	4045424 	4066735 	4077830 	4089481 	4108766 	4127168 	4143580 	4162409 	4174819 	4187535 	4198127 	4204412 	4210128 	4214437 	4222078 	4231029 	4244004 	4261503 	4283008 	4314958 	4346613 	4373497 	4397428 	4424155 	4460127 	4471425 	4474782 	4475712 	4478703 	4481308 	4490039 	4500683 	4513681 	4529014 	4545081.0 	4561202.0 	4589734.0 	4619006.0 	4652637.0 	4691668.0 	4725326 	4756021 	4789988 	4830507 	4875115 	4920051 	4981806 	5037580 	5087747 	5131775 	5156448 	5191619 	5223232 	5239188 	5262925 
A,NR,F,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	894141 	: 	: 	: 	: 	916724 	933325 	944341 	954800 	964001 	974117 	982638 	978951 	985910 	991397 	996163 	1001150 	1022076 	1026415 	1027975 	1028125 	1029716 	1028879 	1026965 	1024948 	1025102 	1022192 	1018355 	1016763 	1015117 	1016943 	1017352 	1019024 	1019446 	1019631 	1020538.0 	1021893.0 	1023395.0 	1023736.0 b	1028417.0 	1032869.0 	1035626 	1038765 	1039760 	1040211 	1040645 	1040855 	1040770 	1039839 	1042252 	1044795 	1049039 	1049485 	1053701 	1055520 	1058574 
A,NR,F,TOTAL,SK	2028234 	2106281 	2131222 	2152520 	2175236 	2198365 	2219563 	2240366 	2258823 	2276292 	2295640 	2299504 	2318249 	2341097 	2365550 	2391573 	2417550 	2444248 	2470259 	2496077 	2521567 	2540738 	2562173 	2582675 	2601818 	2621022 	2639676 	2656037 	2671904 	2687402 	2701168 	2714798 	2712647 	2723925 	2736408 	2747306 	2754078 	2760498 	2765645 	2769690 	2773531 	2766271 	2767030 	2765119 	2763744 	2763661.0 	2763073.0 	2762525.0 	2762376.0 	2764064.0 	2766864.0 	2767273 	2772570 	2774857 	2776889 	2779021 	2780170 	2783659 	2786606 	2789344 	2792523 	2793295 	2776809 	2773698 	2771470 	2768502 
A,NR,F,TOTAL,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14903 	15127.0 	15296.0 	15444.0 	15650.0 	15926.0 	: 	16227 	17159 	17234 	: 	: 	: 	: 	17665 	: 	: 	: 	: 	: 	: 	: 
A,NR,F,TOTAL,TR	13288710 	13606231 	13943430 	14301507 	14681761 	15085597 	15471242 	15876225 	16301597 	16748489 	17218115 	17585502 	17972171 	18379259 	18808000 	19259726 	19662486 	20099695 	20573588 	21086702 	21641899 	22153959 	22693570 	23262258 	23861687 	24493659 	25009333 	25554101 	26129776 	26738340 	27381953 	27989019 	28548541 	29112544 	29677549 	30241536 	30811583 	31390590 	31971594 	32547564 	33100471 	32330652 b	32759611 	33153312 	33541375 	33948680.0 	34369633.0 	34800258.0 	35209723.0 	35615946.0 	36098842.0 	36679806 	37191315 	37671216 	38194504 	38711602 	39229862 	39771221 	40275390 	40863902 	41433861 	41698377 	42252172 	42575441 	42638306 	42811834 
A,NR,F,TOTAL,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26360288 	26133207 	25924585 	25710574 	25515270 	25346469.0 	25174503.0 	25031011.0 	24894631.0 	24778427.0 	24675525.0 	24565563 	24476570 	24409948 	24327606 	22971835 b	22872998 	22770325 	22658586 	22528292 	22389339 	22223341 	21990719 	: 	: 	: 
A,NR,F,TOTAL,UK	27000000 	27200000 	27400000 	27500000 	27700000 	27900000 	28056700 	28208600 	28357500 	28491100 	28596800 	28700700 	28798979 	28864250 	28889066 	28875801 	28860209 	28850323 	28846705 	28857624 	28892661 	28932214 	28936510 	28935694 	28966475 	29026946 	29103551 	29173506 	29234961 	29306220 	29383284 	29474366 	29568669 	29641149 	29714215 	29787456 	29849164 	29910222 	29979899 	30061268 	30150784 	30238346 	30336950 	30452240 	30582491 	30762960.0 	30968983.0 	31178445.0 	31407298.0 	31625820.0 	31841228.0 	32071042 	32288847 	32481221 	32687816 	32919294 	33152984 	33364404 	33563620 	33746076 	: p	: 	: 	: 	: 	: 
A,NR,F,Y10-14,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1704 	1759 	1772 	1795 	1712 	1760 	1755 	1775 	1818 	1718 	1653 	1625 	1517 	1512 	1571 	1572 	1619 	1692 	1751 	1781.0 	1816.0 	1821.0 	1829.0 	1888.0 	1988.0 	2059 	2059 	2045 	: 	: 	: 	: 	: 	1903 	: 	: 	: 	: 	: 	: 
A,NR,F,Y10-14,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158886 	156032 	152231 	148295.0 	144380.0 	139882.0 	135692.0 	131053.0 	126303.0 	120549 	112019 	108317 	104133 	98587 	93825 	91773 	87021 	84549 	81172 	79066 	: 	78124 	: 	63938 
A,NR,F,Y10-14,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133577.0 	123125.0 	114852.0 	108342.0 	103014.0 	: 	: 	: 	: 	80322 	81538 	83786 	86634 	88876 	93036 	95506 	: 	: 	92639 	: 
A,NR,F,Y10-14,AT	241060 	248458 	248315 	241972 	238029 	238374 	241932 	250148 	258046 	265759 	274173 	282295 	291737 	301379 	311152 	318112 	320165 	319141 	316727 	311644 	305123 	296528 	289384 	277398 	262907 	250076 	240105 	229080 	220149 	214952 	211555 	212777 	219121 	226844 	231147 	234213 	233796 	231469 	228385 	228042 	228581 	230299 	233414 	235771 	237891 	238046.0 	236351.0 	233351.0 	229094.0 	223413.0 	217392.0 	212824 	206729 	204086 	202082 	202605 	203980 	206226 	205691 	206133 	205617 	206227 	206188 	211341 	212329 	215007 
A,NR,F,Y10-14,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	416200.0 	396700.0 	367400.0 	344100.0 	344716.0 	328112 	312474 	306854 	302817 	296199 	291927 	290678 	289364 	296964 	309372 	328306 	351947 	392856 	393061 	385012 
A,NR,F,Y10-14,BE	337883 	346847 	343342 	343716 	344304 	348522 	353505 	359062 	363918 	369268 	374559 	378181 	382334 	383779 	386918 	388682 	388712 	384349 	378187 	369507 	359747 	352912 	346095 	340866 	334584 	325724 	314971 	305483 	298374 	296218 	295770 	299286 	301480 	301610 	299695 	297479 	292921 	290507 	289811 	292115 	295574 	300911 	306287 	310278 	310907 	308134.0 	304723.0 	301035.0 	298100.0 	296352.0 	297169.0 	300722 	300593 	299116 	298985 	300627 	302928 	307475 	313549 	320521 	326237 	331586 	334022 	338646 	338003 	337162 
A,NR,F,Y10-14,BG	338967 	351692 	347075 	351219 	349606 	342303 	331024 	333835 	331379 	328553 	325043 	320102 	315423 	312809 	309414 	306282 	304723 	299074 	292979 	294559 	300948 	305756 	312249 	316355 	315414 	315947 	324791 	329330 	334494 	333990 	319137 	308447 	297835 	286515 	280297 	274492 	269853 	267425 	263992 	260909 	257090 	252256 	238380 	227451 	215093 	201041.0 	187135.0 	176355.0 	164422.0 	156128.0 	153408.0 	153163 	151743 	152003 	151311 	148637 	146094 	146562 	148887 	150787 	153297 	157198 	157988 	157040 	154991 	152375 
A,NR,F,Y10-14,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	280680.0 	262563.0 	244435.0 	233217.0 	: 	221110 	219287 	219177 	217533 	215723 	215321 	217822 	224653 	234097 	: 	: 	: 	: 	: 	: 
A,NR,F,Y10-14,CH	208900 	208087 	216751 	222187 	222486 	219639 	215701 	215950 	217539 	220230 	223950 	228732 	231629 	235171 	240662 	246039 	248421 	248907 	248042 	244832 	239459 	233836 	226979 	219371 	210689 	203345 	195824 	189447 	184994 	182629 	181789 	182199 	185341 	189534 	192796 	195082 	196874 	198427 	198653 	201635 	204572 	207446 	210173 	214005 	213772 	212850.0 	210446.0 	208303.0 	205430.0 	204339.0 	202817.0 	203197 	199828 	197468 	196080 	195698 	195132 	196981 	199236 	202067 	204859 	208906 	212094 	215263 	220620 	223845 
A,NR,F,Y10-14,CY	: 	31776 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33100 	: 	: 	23280 	: 	: 	: 	: 	: 	20684 	20748 	20927 	21127 	21273 	21450 	21605 	21804 	22237 	22878 	23566 	24236 	25321 	26214 	26494 	26912 	26999 	27024 	26755 	27027 	26155 	26869 	27011 	27373.0 	27134.0 	27035.0 	26253.0 	25518.0 	24805.0 	24253 	23675 	22783 	22232 	21892 	21628 	21587 	21802 	22234 	22812 	23193 	23348 	23796 	23866 	23706 
A,NR,F,Y10-14,CZ	429775 	437651 	432816 	424925 	419031 	415656 	409340 	401486 	391303 	378144 	360174 	339176 	324675 	315094 	318263 	329969 	338473 	342835 	344858 	339946 	334885 	336150 	343247 	355874 	376797 	401599 	422694 	438801 	447966 	447573 	437297 	415772 	395502 	376745 	357121 	340712 	332838 	327633 	322227 	320423 	316690 	316001 	313652 	310055 	304912 	294919.0 	278297.0 	259902.0 	245383.0 	230707.0 	222332.0 	219565 	220018 	221361 	223335 	227575 	234162 	242584 	255396 	269794 	282023 	282014 b	284355 	295336 	291278 	287044 
A,NR,F,Y10-14,DE	1694780 	1805443 	1861200 	1893675 	1904273 	1907428 	1913676 	1945762 	1985303 	2038876 	2108817 	2170697 	2254952 	2324440 	2405391 	2468885 	2500497 	2518876 	2521304 	2488974 	2422897 	2321167 	2196919 	2040360 	1863349 	1705022 	1593844 	1509470 	1435824 	1429660 	1453733 	2020340 	2077475 	2132576 	2167449 	2189287 	2191412 	2207622 	2222870 	2255725 	2286823 	2316429 	2291497 	2242963 	2169563 	2090343.0 	2002035.0 	1965491.0 	1952253.0 	1937135.0 	1930255.0 	1921443 b	1894112 	1853873 	1822223 	1805090 	1793698 	1784673 	1787506 	1797750 	1797762 	1808984 	1818303 	1850637 b	1858916 	1887042 
A,NR,F,Y10-14,DK	206730 	200406 	191915 	186124 	183080 	181951 	180420 	181272 	180795 	179994 	179390 	179865 	180268 	181754 	185705 	190017 	194177 	199996 	202128 	198490 	193376 	186903 	180747 	178150 	177279 	177727 	178666 	174373 	168169 	163725 	158212 	151286 	146270 	142252 	137366 	134127 	133643 	135165 	136944 	140870 	145483 	150210 	154866 	160626 	164642 	168497.0 	170866.0 	171864.0 	171364.0 	170518.0 	168257.0 	166718 	165439 	163666 	163114 	162822 	162606 	163401 	164520 	165351 	164885 	164628 	162125 	160579 	156225 	153366 
A,NR,F,Y10-14,EE	42329 	43511 	43957 	44850 	45071 	45911 	47322 	47866 	48175 	49028 	49185 	48989 	50306 	50884 	50702 	50407 	49483 	48443 	47734 	48115 	48556 	50109 	51479 	53117 	53718 	54267 	54202 	54420 	54366 	54676 	54603 	54707 	54397 	52997 	52466 	52714 	52690 	52417 	52700 	52679 	50450 	49940 	48490 	46350 	42860 	39350.0 	36220.0 	33970.0 	31640.0 	30330.0 	29540.0 	29260 	28896 	29258 	29823 	30595 b	31310 	32410 	33691 	35154 	36283 	37342 	37520 	38847 	38445 	37719 
A,NR,F,Y10-14,EL	327399 	370332 	340009 	353497 	328297 	356372 	336352 	358946 	337632 	361797 	338621 	354894 	350075 	349569 	345281 	343727 	346057 	358136 	367592 	378984 	379832 	373584 	368854 	356754 	347344 	344000 	366383 	365064 	364145 	363103 	362443 	370279 	367616 	364012 	355721 	343986 	328427 	313229 	297811 	285313 	275016 	268018 	301326 	299140 	290608 	284597.0 	278240.0 	272092.0 	267752.0 	266749.0 	264759.0 	263925 	263139 	262093 	260840 	258709 	257255 	258946 	259623 	263429 	268819 	270919 	260661 b	257257 	249107 	241284 
A,NR,F,Y10-14,ES	1286964 	: 	1318447 	1320725 	1324047 	1328736 	1333854 	1365775 	1399515 	1431201 	1460104 	1483007 	1505975 	1519992 	1540087 	1570923 	1583867 	1606947 	1624141 	1623765 	1610376 	1609170 	1597536 	1596177 	1599405 	1608259 	1616195 	1623126 	1612818 	1598490 	1564497 	1515330 	1457631 	1403893 	1338309 	1280951 	1222699 	1169858 	1122610 	1086957 	1058453 	1036258 	1022722 	1028857 	1028622 	1019628.0 	1013878.0 	1013772.0 	1017571.0 	1022914.0 	1035858.0 	1052875 	1069518 	1079429 	1100458 	1118045 	1136186 	1158025 	1182241 	1207596 	1221637 	1224840 	1220436 	1225892 	1206436 	1204354 
A,NR,F,Y10-14,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12789000 	12698449 	12597256 	12392609 	12152883.0 	11818374.0 	11605324.0 	11367890.0 	11196928.0 	11131263.0 	11128448 	11089160 	11051114 	11037005 be	11034421 be	11017498 be	11073338 be	11167295 e	11305320 	11409788 e	11456804 bep	11479889 ep	11528494 bep	11431055 ep	11367222 ep
A,NR,F,Y10-14,FI	239854 	241174 	235085 	230079 	223122 	218145 	213548 	211831 	207609 	203217 	198843 	194975 	191684 	189868 	190427 	189409 	187605 	185636 	184095 	180323 	174545 	169068 	162796 	155583 	148625 	147377 	148030 	150446 	154104 	158126 	159259 	158912 	158241 	158835 	160634 	161405 	161387 	159922 	157086 	155485 	154552 	155687 	158059 	161188 	161788 	162552.0 	161212.0 	158679.0 	155424.0 	151688.0 	148167.0 	145131 	143320 	141760 	142279 	142702 	143863 	145625 	147620 	149356 	151113 	152888 	153649 	154687 	155573 	155263 
A,NR,F,Y10-14,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1911501 	1949525 	1973416 	1975891 	1975649 	1956934 	1945237 	1934287 	1946540 	1962235 	1970120 	1966669 	1959583 	1933417 	1909483.0 	1897248.0 	1893242.0 	1886387.0 	1907037.0 	1929151.0 	1957343 	1978268 	1998827 	2026103 b	2040582 	2030624 	2036854 	2044842 p	2057004 	2065242 	2084678 	2085463 	2088156 p	2080058 p	2073305 p
A,NR,F,Y10-14,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158086.0 	147433.0 	137449.0 	131929.0 	128041.0 	120717 	115180 	: 	108190 	89600 	96600 	97000 	99100 	103110 	109259 	115525 	119045 	122239 	112271 	117332 
A,NR,F,Y10-14,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124471 	123925 	121559 	119898 	119138.0 	118391.0 	118411.0 	120221.0 	120017.0 	118358.0 	115748 	111250 	105831 	101307 	98296 	96964 	95908 	95187 	95502 	96323 	95712 	95465 	95352 	93639 	91493 
A,NR,F,Y10-14,HU	386877 	402994 	417359 	420842 	430329 	447062 	455451 	458496 	451110 	431401 	400892 	373861 	351003 	335009 	323521 	315152 	309143 	308249 	317484 	328515 	340281 	348992 	355601 	357935 	359399 	374693 	394298 	410654 	423092 	429183 	417904 	395891 	377492 	358139 	341135 	327169 	320392 	315377 	312528 	310706 	308567 	305025 	302625 	300605 	297094 	292659.0 	285172.0 	275041.0 	264549.0 	255380.0 	246037.0 	240299 	236223 	235455 	234798 	236006 	236761 	239163 	239766 	242309 	243338 	240160 	233663 	224654 	221236 	220760 
A,NR,F,Y10-14,IE	139100 	140200 	140300 	140300 	140300 	140100 	139900 	140600 	141600 	142700 	144200 	145900 	148000 	150100 	152400 	154800 	157000 	159100 	161000 	163400 	164519 	165700 	166700 	167700 	169600 	170439 	169750 	169430 	166800 	165711 	166825 	168859 	170171 	170162 	167904 	163858 	159723 	155539 	151159 	147141 	144414 	142136 	140086 	137887 	135851 	134618.0 	133661.0 	134309.0 	136985.0 	140330.0 	143131.0 	145673 	148079 	149517 	151154 	153090 	155098 	157936 	161503 	166640 	172090 	177509 	182104 	185551 	185740 	185889 
A,NR,F,Y10-14,IS	8508 	8781 	9140 	9330 	9466 	9722 	10010 	10210 	10533 	10729 	10919 	10987 	10983 	11073 	11135 	11241 	11163 	11217 	11048 	10708 	10407 	10070 	9839 	9998 	10215 	10160 	10332 	10351 	10089 	10003 	10174 	10315 	10408 	10578 	10728 	10490 	10204 	10007 	9862 	9962 	10223 	10621 	10944 	11207 	11322 	11289.0 	11102.0 	11102.0 	11036.0 	10861.0 	10710.0 	10716 	10530 	10474 	10506 	10513 	10473 	10657 	10896 	11167 	11444 	11811 	11947 	12153 	12127 	11991 
A,NR,F,Y10-14,IT	2061200 	2118900 	2064500 	2008600 	1946200 	1928700 	1910700 	1921400 	1941200 	1957800 	1972000 	2017700 	2051292 	2089054 	2143372 	2208917 	2243187 	2280107 	2298982 	2295793 	2272841 	2242095 	2216780 	2189745 	2167195 	2138192 	2105722 	2046933 	1977255 	1898266 	1799921 	1709048 	1621899 	1561590 	1505953 	1465759 	1434690 	1400536 	1368757 	1356914 	1351739 	1355224 	1367403 	1382699 	1377530 	1369799 	1357158 	1346777 	1338572 	1341397 	1349697 	1363456 	1371164 	1374755 	1377212 	1380011 	1373493 	1372760 	1375182 	1378353 b	1374611 	1377822 	1369852 	1355979 	1331575 	1306707 
A,NR,F,Y10-14,LI	772 	785 	756 	775 	761 	760 	776 	809 	847 	890 	: 	916 	: 	949 	988 	1033 	1031 	1031 	1072 	1105 	1099 	1085 	1099 	1050 	1002 	961 	953 	931 	927 	900 	894 	876 	910 	953 	942 	943 	954 	955 	955 	982 	972 	981 	996 	1015 	1041 	1039.0 	1045.0 	1057.0 	1055.0 	1045.0 	1080.0 	1056 	1028 	1003 	951 	936 	938 	945 	930 	927 	917 	893 	906 	917 	930 	936 
A,NR,F,Y10-14,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139452 	140787 	144635 	146711 	145363 	143781 	140212 	137304 	134966 	134496 	133798 	135085 	135952 	136809 	135530 	135282 	133650 	131749 	130210 	130046 	129962 	129603 	129009 	128812 	130127 	131322 	133543 	136236 	137955 	137244 	135591 	133768 	130274 	127435 	122731 	117011.0 	109735.0 	102968.0 	95499.0 	90141.0 	86789.0 	82135 	77647 	73487 	70108 	66996 	64749 	63668 	63404 	64126 	65860 	69383 	70494 	73165 	73436 	72828 
A,NR,F,Y10-14,LU	9862 	9920 	: 	: 	: 	11687 	: 	11876 	12035 	12152 	12241 	12561 	12684 	12826 	12968 	12970 	12980 	12992 	12729 	12561 	12882 	12586 	12248 	11729 	11114 	10615 	10177 	9902 	9846 	9992 	10168 	10410 	10654 	10855 	11124 	11208 	11162 	11332 	11541 	11889 	12323 	12948 	13136 	13444 	13621 	13983.0 	14275.0 	14624.0 	14833.0 	14864.0 	14916.0 	15157 	15105 	15111 	15125 	15103 	14987 	15163 b	15511 	15859 	16063 	16590 	16648 	17113 	17511 	17917 
A,NR,F,Y10-14,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85330 	84311 	85321 	86362 	86097 	85576 	83666 	82024 	80506 	80096 	80116 	81836 	83725 	85397 	86247 	87403 	87348 	86523 	85870 	85959 	85854 	85425 	86001 	85651 	87170 	89080 	90610 	92762 	93797 	93191 	91238 	89507 	85729 	81726 	76035 	69822.0 	62937.0 	56640.0 	50769.0 	46959.0 	44635.0 	43780 	43577 	43955 	44700 	44886 	45136 	46178 	47594 	49166 	50189 	49600 	48678 	48939 	48314 	48204 
A,NR,F,Y10-14,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	886 	888 
A,NR,F,Y10-14,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133312.0 	130524.0 	122652.0 	114635.0 	107338.0 	101506 	96662 	93123 	90814 	75685 be	74338 e	73238 e	73480 e	74308 e	75117 e	75398 e	76088 e	75416 ep	72369 ep	78372 ep
A,NR,F,Y10-14,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21690 	21845 	21882 	21958 	22093 	21860.0 	21662.0 	21486.0 	21137.0 	20956.0 	20582.0 	20065 	19853 	19738 	19442 	19183 	18686 	18161 	17801 	17814 	18019 	18389 	18265 	18136 	18608 	18512 
A,NR,F,Y10-14,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81642 	81782 	81595 	81172 	80523 	80242 	79177 	77901 	77364 	77679 	76065 	75348.0 	73713.0 	71503.0 	68820.0 	66672.0 	63594.0 	62233 	60583 	59151 	58016 	57421 	55910 	54946 	54682 	54406 	54577 	55288 	51157 b	51839 	52221 	52694 
A,NR,F,Y10-14,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12470 	11982 	11530 	11156 	11025 	11264 	: 	11883 	12195 	12798 	13097 	13275 	13340 	13662 	13665 b	13695 	13906 	14032 	13835 	13775 	13653 	13398 	13341 	13434 	13692 	13915 	13875 	13626 	13152.0 	13029.0 	12584.0 	12139.0 	11789.0 	11460.0 	11296 	10849 	10439 	10340 	10269 	10069 	10099 	10217 	10309 	10606 	10666 	10927 	11272 	11285 	11283 
A,NR,F,Y10-14,NL	569142 	584685 	562487 	548202 	540646 	538421 	540376 	544468 	547555 	552807 	561070 	567142 	576943 	584368 	592036 	598142 	604441 	602096 	599863 	596028 	597197 	597846 	592978 	582900 	562412 	531781 	501580 	475857 	455132 	444818 	439475 	440871 	443161 	442961 	441648 	441988 	441696 	445717 	453408 	462140 	470039 	479323 	485656 	489802 	492476 	493202.0 	487589.0 	480989.0 	478073.0 	478895.0 	480655.0 	487766 	493559 	496347 	496517 	493414 	485116 	478454 	471948 	466784 	464854 	465532 	465001 	468118 	463584 	461419 
A,NR,F,Y10-14,NO	154757 	153991 	149112 	146954 	146499 	146945 	147428 	149866 	150467 	150549 	150682 	150251 	149309 	149166 	149787 	151145 	153212 	155630 	158161 	160225 	161925 	161799 	161912 	161225 	158489 	155077 	151347 	145655 	139381 	134988 	130823 	128311 	127445 	127746 	127390 	127148 	127312 	127774 	129542 	133403 	138152 	142961 	147168 	150245 	151760 	152325.0 	152233.0 	152504.0 	153002.0 	153129.0 	153369.0 	153448 	152033 	150723 	150712 	150549 	150491 	152249 	154087 	155981 	158181 	159686 	159646 	161169 	160910 	158957 
A,NR,F,Y10-14,PL	1365000 	: 	: 	: 	: 	1698100 	: 	: 	: 	: 	1708700 	: 	: 	: 	: 	1382752 	: 	: 	: 	: 	1230063 	: 	: 	: 	: 	1368131 	: 	: 	: 	: 	1568366 	1590238 	1594454 	1618426 	1644339 	1655497 	1650802 	1634277 	1587809 	1525692 	1461022 	1405565 	1365363 	1327133 	1283767 	1239884.0 	1185909.0 	1132305.0 	1083225.0 	1037080.0 	990587.0 	960157 	931600 	904572 	884090 	871519 	866833 	874354 	897870 	936760 	974338 	956865 bep	968631 ep	973162 ep	955801 ep	940978 ep
A,NR,F,Y10-14,PT	416330 	415786 	414990 	415990 	407390 	405910 	401190 	401640 	396900 	399790 	396910 	404683 	410860 	418560 	413970 	419780 	424530 	426630 	424550 	423260 	418940 	418832 	418423 	420258 	418621 	419675 	421295 	422520 	417718 	410576 	401230 	387403 	369206 	355186 	344045 	333898 	321866 	310699 	299277 	291234 	284869 	282265 	280170 	280312 	279512 	276719.0 	273338.0 	270096.0 	268509.0 	267459.0 	271007.0 	275394 	274008 	271593 	269182 	263955 	258469 	256215 	252314 	249669 	247091 	246115 	244250 	242664 	238274 	232920 
A,NR,F,Y10-14,RO	: 	: 	: 	: 	: 	: 	: 	: 	916355 	916687 	895751 	858718 	817947 	775870 	737032 	701493 	665155 	669766 	810812 	910546 	975581 	1013339 	1068968 	1010278 	947869 	932346 	929472 	939240 	954415 	972063 	965846 	955788 	937047 	900242 	855173 	829052 	807070 	805904 	821078 	845357 	856435 	829380 	780283 	764975 	753850 	741540.0 	678896.0 	672949.0 	601714.0 	538789.0 	534587.0 	531920 	531399 	525514 	518591 	512751 	509871 	511304 	512605 	513494 	516387 e	513007 e	531017 e	528863 e	519169 e	505858 e
A,NR,F,Y10-14,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	232322 	225388 	220604 	217385 	213409 	208807 	206020.0 	203594.0 	199300.0 	194976.0 	190068.0 	184321.0 	172588 	170621 	169926 	171049 	172844 	173970 	171976 	169044 	166108 	164006 	162023 	160289 	156925 b	156227 	156020 
