geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
DK,2001,2.2,1.3310371695868475,3.5310371695868477
DK,2002,1.8,1.0317873970308218,2.831787397030822
DK,2003,1.3,1.3203289231350492,2.620328923135049
DK,2004,0.9,1.6308979479920855,2.5308979479920857
DK,2005,1.2,1.7222883890597729,2.922288389059773
DK,2006,1.9,1.7516484233229583,3.6516484233229582
DK,2007,3.7,1.55642909123487,5.25642909123487
DK,2008,4.6,1.9078522171499972,6.507852217149997
DK,2009,2.8,1.4417256000280145,4.241725600028015
DK,2010,3.0,1.6338623436195172,4.633862343619517
DK,2011,2.4,1.165695673222521,3.565695673222521
DK,2012,3.0,1.00187867931926,4.00187867931926
DK,2013,3.8,0.6073935303218418,4.4073935303218414
DK,2014,4.8,0.9827206434421167,5.782720643442117
DK,2015,7.4,0.9982834824721739,8.398283482472173
DK,2016,5.7,1.5401460352803829,7.240146035280383
DK,2017,4.2,1.4152595103403878,5.615259510340388
DK,2018,3.2,1.0800544524570201,4.28005445245702
DK,2019,1.6,1.2416292504358792,2.8416292504358793
DK,2020,1.9,1.0805866561974102,2.98058665619741
DK,2021,4.6,1.0823546736369327,5.682354673636932
DK,2022,10.2,-0.1711098474142833,10.028890152585715
DK,2023,5.0,-0.15423114174533017,4.84576885825467
DK,2024,5.3,0.0013420006444958095,5.301342000644496
DK,2025,,,
EE,1960,2.4,6.174763462376965,8.574763462376964
EE,1961,7.8,5.912656405131206,13.712656405131206
EE,1962,8.0,5.240623588805626,13.240623588805626
EE,1963,9.6,4.81995576906459,14.41995576906459
EE,1964,9.0,5.422309154435252,14.422309154435252
EE,1965,8.7,4.189659649433786,12.889659649433785
EE,1966,5.1,3.7064327216069137,8.806432721606914
EE,1967,3.2,3.7829361580068217,6.982936158006822
EE,1968,7.3,4.198496640522708,11.498496640522708
EE,1969,5.3,4.20582317168811,9.50582317168811
EE,1970,7.7,4.709833979461988,12.409833979461988
EE,1971,7.1,5.173506095310889,12.27350609531089
EE,1972,5.7,4.501952145194273,10.201952145194273
EE,1973,5.0,4.048192495625652,9.048192495625653
EE,1974,4.0,4.2966440434337745,8.296644043433774
EE,1975,4.0,3.362187191246516,7.362187191246516
EE,1976,3.8,3.101845075036769,6.9018450750367695
EE,1977,4.5,3.380356962372328,7.880356962372328
EE,1978,3.1,2.768047255992857,5.868047255992857
EE,1979,2.7,2.6063930033677574,5.3063930033677575
EE,1980,4.1,2.7204369001283806,6.82043690012838
EE,1981,4.2,3.095300580807382,7.295300580807382
EE,1982,3.6,3.5061634133354764,7.1061634133354765
EE,1983,2.7,3.966768257607849,6.666768257607849
EE,1984,3.0,3.4008325037142932,6.400832503714293
EE,1985,4.1,2.8139411848878164,6.9139411848878165
EE,1986,4.0,3.989372104120005,7.9893721041200045
EE,1987,3.2,4.402109805057738,7.602109805057738
EE,1988,0.7,4.177424706556613,4.877424706556613
EE,1989,-0.5,3.6930065365321507,3.1930065365321507
EE,1990,-3.6,1.7655684232576232,-1.834431576742377
EE,1991,-8.1,-0.19263287681892957,-8.29263287681893
EE,1992,-27.1,-1.3428706303645688,-28.44287063036457
EE,1993,-19.0,-3.991919555509385,-22.991919555509384
EE,1994,-14.3,-5.440935115020664,-19.740935115020665
EE,1995,-10.8,-5.054296220844915,-15.854296220844915
EE,1996,-9.5,-4.054190593267434,-13.554190593267434
EE,1997,-4.9,-4.263881262820093,-9.163881262820095
EE,1998,-4.7,-5.224417367634454,-9.924417367634454
EE,1999,20.2,-4.366182171736982,15.833817828263017
EE,2000,-2.3,-3.808028545941124,-6.108028545941124
EE,2001,-2.4,-4.224826239301511,-6.624826239301511
EE,2002,-2.2,-3.869867221776496,-6.069867221776496
EE,2003,-2.8,-3.720213206902319,-6.520213206902319
EE,2004,-2.7,-2.7030192131747484,-5.4030192131747485
EE,2005,-3.8,-2.1827280420944177,-5.9827280420944176
EE,2006,-4.0,-1.8057303620345007,-5.805730362034501
EE,2007,-2.1,-1.21675155631013,-3.3167515563101304
EE,2008,-1.5,-0.4833985834254804,-1.9833985834254804
EE,2009,-1.6,-0.23807028313893422,-1.8380702831389344
EE,2010,-2.8,0.026250853152727464,-2.773749146847272
EE,2011,-2.9,-0.42492065640840515,-3.324920656408405
EE,2012,-2.8,-1.0519031977404456,-3.8519031977404454
EE,2013,-2.0,-1.297556231224066,-3.297556231224066
EE,2014,-0.5,-1.469047034584544,-1.969047034584544
EE,2015,1.8,-1.0160700297367802,0.7839299702632199
EE,2016,0.8,-1.0175205023921992,-0.2175205023921991
EE,2017,4.0,-1.3369969634435084,2.663003036556492
EE,2018,5.3,-1.0491739650209644,4.250826034979036
EE,2019,4.1,-0.9827750184930784,3.1172249815069213
EE,2020,2.8,-1.9578984120104501,0.8421015879895497
EE,2021,5.3,-3.9960362928812656,1.3039637071187342
EE,2022,29.5,-4.256657926589358,25.24334207341064
EE,2023,10.1,-3.6994356768217505,6.40056432317825
EE,2024,1.0,-4.412640841151476,-3.412640841151476
EE,2025,,,
EL,1960,-4.1,11.647150938165744,7.5471509381657444
EL,1961,-2.0,10.374325156491949,8.374325156491949
EL,1962,-6.6,10.167495745904507,3.567495745904507
EL,1963,-5.8,9.635943689876523,3.8359436898765233
EL,1964,-6.4,9.862716244220403,3.4627162442204025
EL,1965,-3.9,9.88806600427166,5.98806600427166
EL,1966,-1.3,10.121224743290357,8.821224743290356
EL,1967,-3.0,10.510006172225907,7.510006172225907
EL,1968,-4.4,9.99218036197031,5.592180361970309
EL,1969,-7.6,9.388690080814476,1.788690080814476
